"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
0;69673;31.5;177;5340;124897;"16Alp Boo";110
32349;-39.17;77.67;2491;48915;"9Alp CMa";818
37279;-16.17;89.17;2943;61421;"10Alp CMi";848
71683;-41.17;218.33;5459;128620;"Alp1Cen";969
78072;36;204.33;5933;142860;"41Gam Ser";265
97649;29.17;273.83;7557;187642;"53Alp Aql";288
11767;66;60.17;424;15826;"1Alp UMi";1
72607;72.83;107.5;5563;131873;"7Bet UMi";6
75097;74.83;116.17;5735;137422;"13Gam UMi";7
54061;49;107.67;4301;95689;"50Alp UMa";24
53910;44.5;112.17;4295;95418;"48Bet UMa";25
58001;46.5;123;4554;103287;"64Gam UMa";27
63121;39.75;147.83;4914;112412;"12Alp2CVn";36
61317;41.33;140.17;4785;109358;"8Bet CVn";37
45860;17.25;105;3705;80493;"40Alp Lyn";38
85670;75.67;223.17;6536;159181;"23Bet Dra";46
87833;75.5;239.67;6705;164058;"33Gam Dra";48
68756;65.5;131.17;5291;123299;"11Alp Dra";72
116727;64.25;33;8974;222404;"35Gam Cep";76
106032;71.17;7.33;8238;205021;"8Bet Cep";77
105199;69;346.67;8162;203280;"5Alp Cep";78
71075;49;169.67;5435;127762;"27Gam Boo";92
73555;53.83;176.67;5602;133208;"42Bet Boo";93
76267;44.5;194.67;5793;139006;"5Alp CrB";111
75695;46.5;191.67;5747;137909;"3Bet CrB";112
76952;44.75;197.17;5849;140436;"8Gam CrB";115
84345;37.5;227.67;6406;155803;"64Alp1Her";119
80816;43;213.67;6148;148856;"27Bet Her";120
80170;40.17;211.67;6095;147547;"20Gam Her";121
91262;62;257.33;7001;172167;"3Alp Lyr";149
92420;56.17;261;7106;174638;"10Bet Lyr";155
93194;55.33;264.17;7178;175815;"14Gam Lyr";157
95947;49;274.5;7417;183912;"6Bet1Cyg";159
100453;57.33;298.5;7796;194093;"37Gam Cyg";162
102098;60;309.17;7924;197345;"50Alp Cyg";163
3179;46.75;10.83;168;3712;"18Alp Cas";179
4427;49;16.67;264;5394;"27Gam Cas";181
746;51.67;7.83;21;432;"11Bet Cas";189
14328;34.5;32.67;915;18925;"23Gam Per";193
15863;30;34.83;1017;20902;"33Alp Per";197
14576;23;29.67;936;19356;"26Bet Per";202
24608;22.5;55;1708;34029;"13Alp Aur";222
28360;20;62.83;2088;40426;"34Bet Aur";223
86032;36;234.83;6556;159561;"55Alp Oph";234
86742;27.25;238;6603;161096;"60Bet Oph";235
87108;26.5;239;6629;161868;"62Gam Oph";236
77233;34.25;202;5867;141003;"28Bet Ser";266
77070;25.33;204.33;5854;140573;"24Alp Ser";271
98337;39.33;280.17;7635;189319;"12Gam Sge";281
96757;39;274.67;7479;185758;"5Alp Sge";284
96837;38.67;273.33;7488;185958;"6Bet Sge";285
98036;27.17;274.83;7602;188512;"60Bet Aql";287
97278;31.5;273.17;7525;186791;"50Gam Aql";290
101769;32;288.5;7882;196524;"6Bet Del";304
101958;33;290.17;7906;196867;"9Alp Del";305
102531;33.17;293.17;7947;197963;"12Gam2Del";307
104987;20.5;296.33;8131;202447;"8Alp Equ";311
105570;20.67;298;8178;203562;"10Bet Equ";312
104521;25.5;296.33;8097;201601;"5Gam Equ";313
677;26;347.83;15;359;"21Alp And";315
1067;12.5;342.17;39;886;"88Gam Peg";316
113881;31;332.17;8775;217906;"53Bet Peg";317
113963;19.67;326.67;8781;218045;"54Alp Peg";318
5447;26.33;3.83;337;6860;"43Bet And";346
9640;28;16.83;603;12533;"57Gam1And";349
8796;16.5;11;544;11443;"2Alp Tri";358
10064;20.67;16;622;13161;"4Bet Tri";359
10670;19;16.83;664;14055;"9Gam Tri";361
8832;7.33;6.67;546;11503;"5Gam2Ari";362
8903;8.33;7.67;553;11636;"6Bet Ari";363
9884;10.5;10.67;617;12929;"13Alp Ari";375
20205;-5.75;39;1346;27371;"54Gam Tau";390
21421;-5.17;42.67;1457;29139;"87Alp Tau";393
25428;5;55.67;1791;35497;"112Bet Tau";400
36850;9.5;83.33;2891;60179;"66Alp Gem";424
37826;6.25;86.67;2990;62509;"78Bet Gem";425
31681;-7.5;72;2421;47105;"24Gam Gem";440
42806;2.67;100.33;3449;74198;"43Gam Cnc";452
44066;-5.5;106.5;3572;76756;"65Alp Cnc";454
40526;-7.5;97.17;3249;69267;"17Bet Cnc";457
50583;8.5;122.17;4057;89484;"41Gam1Leo";467
49669;0.17;122.5;3982;87901;"32Alp Leo";469
57632;11.83;144.5;4534;102647;"94Bet Leo";488
60742;30;144.83;4737;108381;"15Gam Com";494
57757;0.17;149;4540;102870;"5Bet Vir";501
61941;2.83;163.17;4825;110379;"29Gam Vir";503
65474;-2;176.67;5056;116658;"67Alp Vir";510
72622;0.67;198;5531;130841;"9Alp2Lib";529
74785;8.83;202.17;5685;135742;"27Bet Lib";531
76333;4.75;207.83;5787;138905;"38Gam Lib";535
78820;1.33;216.33;5984;144217;"8Bet1Sco";546
80763;-4;222.67;6134;148478;"21Alp Sco";553
88635;-6.5;244.5;6746;165135;"10Gam2Sgr";570
95241;-23;257.67;7337;181454;"Bet1Sgr";592
95347;-18;257;7348;181869;"Alp Sgr";593
100064;7.33;277.33;7754;192947;"6Alp2Cap";601
100345;5;277.33;7776;193495;"9Bet Cap";603
106985;-2.17;294.83;8278;206088;"40Gam Cap";623
109074;11;306.33;8414;45995;"34Alp Aqr";630
106278;8.83;296.5;8232;204867;"22Bet Aqr";632
110395;8.75;309.5;8518;212061;"48Gam Aqr";637
113889;9.25;321.67;8773;217891;"4Bet Psc";674
114971;7.5;324.17;8852;219615;"6Gam Psc";675
9487;-8.5;2.5;595;12446;"113Alp Psc";692
14135;-12.33;17.67;911;18884;"92Alp Cet";713
12706;-11.5;12.67;804;16970;"86Gam Cet";714
3419;-20.33;335.67;188;4128;"16Bet Cet";733
27989;-17;62;2061;39801;"58Alp Ori";735
25336;-17.5;54;1790;35468;"24Gam Ori";736
24436;-31.5;49.83;1713;34085;"19Bet Ori";768
23875;-28.25;48.5;1666;33111;"67Bet Eri";773
