# Converted from ptolema.dat — Ptolemaios (equinox -128)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
11767;66.0000;60.1667;1;=UMi;"1=UMi";3;2.0;1;37.4
85822;70.0000;62.5000;2;=UMi;"2=UMi";4;4.3;1;41.6
82080;74.3333;70.1667;3;=UMi;"3=UMi";4;4.2;1;52.6
77055;75.6667;89.6667;4;=UMi;"4=UMi";4;4.3;2;48.7
79822;77.6667;93.6667;5;=UMi;"5=UMi";4;4.9;1;6.8
72607;72.8333;107.5000;6;=UMi;"6=UMi";2;2.1;1;30.1
75097;74.8333;116.1667;7;=UMi;"7=UMi";2;3.0;2;38.2
70692;71.1667;103.0000;8;=UMi;"8a=UMi";4;4.3;1;38.7
41704;39.8333;85.3333;9;=UMa;"1=UMa";4;3.3;1;36.5
42080;43.0000;85.8333;10;=UMa;"2=UMa";5;5.5;2;96.3
42527;43.0000;86.3333;11;=UMa;"3=UMa";5;4.6;1;50.5
44390;47.1667;86.1667;12;=UMa;"4=UMa";5;4.7;1;44.9
45038;47.0000;86.6667;13;=UMa;"5=UMa";5;4.8;2;73.2
46977;50.5000;88.1667;14;=UMa;"6=UMa";5;4.5;1;53.2
45075;43.8333;90.5000;15;=UMa;"7=UMa";4;4.7;1;30.1
46733;44.3333;92.5000;16;=UMa;"8=UMa";4;3.7;1;60.9
48319;42.0000;99.0000;17;=UMa;"9=UMa";4;3.8;1;38.5
48402;44.0000;101.0000;18;=UMa;"10=UMa";4;4.6;2;362.8
46853;35.0000;100.6667;19;=UMa;"11=UMa";3;3.2;1;11.1
44127;29.3333;95.5000;20;=UMa;"12=UMa";3;3.1;1;30.8
44471;28.3333;96.3333;21;=UMa;"13=UMa";3;3.6;1;42.3
45493;36.0000;95.6667;22;=UMa;"14=UMa";4;4.8;1;31.1
44901;33.0000;95.8333;23;=UMa;"15=UMa";4;4.5;1;23.9
54061;49.0000;107.6667;24;=UMa;"16=UMa";2;1.8;1;37.5
53910;44.5000;112.1667;25;=UMa;"17=UMa";2;2.3;1;24.7
59774;51.0000;123.1667;26;=UMa;"18=UMa";3;3.3;1;36.5
58001;46.5000;123.0000;27;=UMa;"19=UMa";2;2.4;1;29.2
50372;29.3333;112.6667;28;=UMa;"20=UMa";3;3.5;1;26.2
50801;28.2500;114.1667;29;=UMa;"21=UMa";3;3.1;2;34.7
54539;35.2500;121.6667;30;=UMa;"22=UMa";4;3.0;1;11.4
55219;25.8333;129.8333;31;=UMa;"23=UMa";3;3.5;1;16.3
55203;25.0000;130.3333;32;=UMa;"24=UMa";3;3.8;1;23.0
62956;53.5000;132.1667;33;=UMa;"25=UMa";2;1.8;1;45.8
65378;55.6667;138.0000;34;=UMa;"26=UMa";2;2.2;1;37.3
67301;54.0000;149.8333;35;=UMa;"27=UMa";2;1.9;1;25.7
63125;39.7500;147.8333;36;=UMa;"28a=UMa";3;2.9;1;25.6
61317;41.3333;140.1667;37;=UMa;"29a=UMa";5;4.2;1;64.5
45860;17.2500;105.0000;38;=UMa;"30a=UMa";4;3.1;1;32.3
45688;19.1667;103.3333;39;=UMa;"31a=UMa";4;3.8;1;49.8
46952;20.0000;106.1667;40;=UMa;"32a=UMa";7;4.5;1;49.8
44248;22.5000;102.1667;41;=UMa;"33a=UMa";7;4.0;3;212.2
44700;20.3333;101.1667;42;=UMa;"34a=UMa";7;4.6;1;39.0
41075;22.2500;90.0000;43;=UMa;"35a=UMa";7;4.3;1;51.7
83608;76.5000;206.6667;44;=Dra;"1=Dra";4;4.9;1;11.0
85819;78.5000;221.8333;45;=Dra;"2=Dra";4;4.9;1;12.2
85670;75.6667;223.1667;46;=Dra;"3=Dra";3;2.8;1;24.9
87585;80.3333;237.3333;47;=Dra;"4=Dra";4;3.7;1;10.8
87833;75.5000;239.6667;48;=Dra;"5=Dra";3;2.2;1;26.8
90156;82.3333;264.6667;49;=Dra;"6=Dra";4;5.0;1;23.3
91755;78.2500;272.3333;50;=Dra;"7=Dra";4;5.0;1;18.1
90905;80.3333;268.8333;51;=Dra;"8=Dra";4;4.8;1;20.2
92512;81.5000;289.5000;52;=Dra;"9=Dra";4;4.6;1;29.6
95081;81.6667;338.0000;53;=Dra;"10=Dra";4;4.6;1;9.2
94376;83.0000;350.5000;54;=Dra;"11=Dra";4;3.1;1;13.9
97433;78.8333;7.6667;55;=Dra;"12=Dra";4;3.8;1;34.1
98702;77.8333;352.8333;56;=Dra;"13=Dra";4;4.5;1;25.8
96100;80.5000;10.6667;57;=Dra;"14=Dra";5;4.7;1;23.4
92782;81.3333;21.6667;58;=Dra;"15=Dra";5;4.8;2;105.6
94648;80.2500;26.1667;59;=Dra;"16=Dra";5;4.4;1;26.4
86614;84.5000;73.3333;60;=Dra;"17=Dra";4;4.6;2;47.1
89937;83.5000;50.3333;61;=Dra;"18=Dra";4;3.5;1;24.9
89908;84.8333;41.8333;62;=Dra;"19=Dra";4;4.2;1;21.5
85805;87.5000;118.6667;63;=Dra;"20=Dra";6;5.1;1;44.8
