# Tycho Brahe star catalogue (Kepler 1627 emended edition)
# Source: Verbunt & van Gent (2010), A&A 516, A28
# Coordinates: ecliptic, equinox AD 1601.0
# Columns: hip;lat_deg;lon_deg;mag_brahe;vmag;dlon_arcmin;dlat_arcmin;dist_arcmin;id_flag
# Stars written: 976
#
11767;66.0333;83.0417;2;2.0;-3.2;1.2;1.8;1
85822;69.8417;85.6000;4;4.3;1.6;3.4;3.5;1
82080;73.8333;93.4000;4;4.2;8.0;2.3;3.2;1
77055;75.0000;111.4833;4;4.3;15.2;4.5;6.0;1
79822;77.6417;114.8667;5;4.9;-10.4;10.2;10.4;1
72607;72.8583;127.2750;2;2.1;21.2;5.9;8.6;1
75097;75.3917;134.6833;3;3.0;71.4;-10.7;21.0;1
70692;71.3833;122.9000;6;4.2;-10.4;1.4;3.6;1
69112;70.3000;117.3333;6;4.8;-10.0;-0.8;3.5;1
23734;35.8333;77.2833;6;5.2;-82.3;2.8;66.8;3
23522;37.3333;77.4667;6;4.0;-105.8;2.8;84.1;3
22626;40.2167;77.7500;6;5.5;-192.2;23.4;148.2;4
22783;42.9333;78.0500;6;4.3;-158.1;26.0;118.2;3
85699;69.0500;84.5167;6;5.8;61.4;27.8;35.2;1
109693;68.0667;75.1167;6;5.3;-0.9;-3.8;3.8;1
112519;67.7167;67.3667;6;4.8;-20.8;0.5;7.9;1
113116;67.3667;69.9500;6;4.7;10.9;7.4;8.5;1
37391;63.9167;86.5000;6;5.1;47.8;-7.8;22.5;1
41704;40.0417;107.6083;4;3.3;-11.3;10.3;13.4;1
42527;43.9250;107.1667;4;4.6;3.9;3.4;4.4;1
42080;44.3667;106.1333;5;5.5;-5.5;10.5;11.2;1
44390;47.8417;108.4167;4;4.7;-2.3;3.8;4.1;1
45038;47.7417;109.7417;4;4.8;-2.6;3.1;3.5;1
46977;51.6083;114.7083;5;4.5;-238.0;-24.5;150.5;4
45333;42.5000;113.8333;5;5.2;-8.7;17.5;18.6;1
46733;45.0500;115.0333;4;3.7;10.6;4.1;8.5;4
48319;42.6000;120.6333;4;3.8;3.8;2.5;3.8;1
48402;38.2583;123.6417;4;4.6;6.7;-2.2;5.7;1
46853;34.5750;120.5417;3;3.2;73.1;22.6;64.2;1
44127;29.2583;115.9333;3;3.1;79.4;18.8;71.7;1
44471;28.6333;117.1667;3;3.6;71.1;18.7;65.1;2
44901;33.5000;117.1167;5;4.5;25.6;-4.7;21.9;1
45493;36.1000;117.4333;5;4.8;16.9;-2.5;13.9;1
54061;49.6667;129.5667;2;1.8;1.8;-0.5;1.3;1
53910;45.0583;133.7250;2;2.3;5.4;2.1;4.4;1
59774;51.6167;145.4250;2;3.3;-0.1;0.6;0.6;1
58001;47.1083;144.7500;2;2.4;5.6;0.2;3.8;1
50372;29.8583;133.9417;4;3.5;2.0;0.5;1.8;1
50801;28.7500;135.0750;4;3.1;34.7;13.1;33.1;1
54539;35.2333;142.5500;4;3.0;40.0;17.2;36.9;1
55219;26.2333;150.9167;4;3.5;8.9;-5.4;9.6;1
55203;24.9000;151.6000;4;3.8;9.0;-11.4;14.0;1
62956;54.3000;153.1667;2;1.8;6.7;-0.2;3.9;1
65378;56.3667;159.9417;2;2.2;5.5;-0.3;3.0;1
67301;54.4167;171.2000;2;1.9;6.5;-1.1;3.9;1
63125;40.1000;167.7250;2;2.9;75.7;1.7;57.9;1
57399;41.5000;148.1667;4;3.7;-5.9;1.8;4.8;1
53295;33.0167;141.0333;5;4.7;-7.0;1.2;6.0;1
45860;17.9167;126.2833;3;3.1;0.2;1.0;1.1;1
46952;20.7000;128.1667;4;4.5;4.1;0.8;3.9;1
45688;20.0833;125.0000;4;3.8;-0.8;-0.3;0.8;1
44700;20.8500;121.9500;4;4.6;0.9;0.4;0.9;1
44248;23.6833;119.7000;4;4.0;2.4;1.8;2.8;1
49593;21.8833;134.2000;4;4.5;73.0;11.1;68.6;1
51233;25.0667;138.9167;4;4.2;2.5;-0.7;2.4;1
51685;24.8333;139.9500;3;5.6;54.9;-54.1;73.7;2
52098;21.4667;143.3667;3;4.7;-6.5;8.6;10.6;1
52638;20.7333;146.1500;3;5.4;-50.0;18.9;50.3;1
53229;24.9667;145.3167;4;3.8;-3.3;-2.0;3.6;1
61317;40.5000;162.2667;5;4.2;-3.8;3.0;4.2;1
51808;58.1333;111.4833;6;4.9;-53.3;25.7;38.0;1
47401;47.2333;113.9167;6;6.0;-33.3;119.9;122.0;3
44857;47.5000;109.8167;6;5.2;-12.2;-1.8;8.4;1
60485;47.9167;153.9667;6;4.8;-105.5;11.0;71.5;3
65550;49.0000;169.0833;6;5.9;40.1;37.5;45.7;3
67194;48.1833;175.7000;6;5.9;164.2;-41.2;117.6;3
64906;52.4167;166.0333;6;5.1;-83.5;-38.0;63.8;4
47006;35.6667;121.6833;6;4.5;9.4;-20.4;21.8;1
83608;76.2833;228.9417;4;4.9;11.0;-0.6;2.7;1
85819;78.2583;244.2417;4;4.9;22.7;-4.2;6.3;1
85670;75.3500;246.3250;3;2.8;1.9;-1.3;1.4;1
87585;80.3583;259.0500;4;3.7;4.3;-2.0;2.1;1
87833;75.0583;262.4000;3;2.2;0.6;-4.9;4.9;1
90156;81.8833;287.0667;5;5.0;-17.9;-4.0;4.7;1
91755;77.9500;294.5167;5;5.0;-4.9;-2.4;2.6;1
90905;79.8583;290.5583;5;4.8;-18.2;-3.4;4.7;1
92512;80.8917;309.4833;4;4.6;1.8;-3.2;3.2;1
95081;81.8500;358.5500;4;4.6;-24.9;-1.4;3.8;1
94376;82.8167;12.4417;3;3.1;-32.5;3.7;5.5;1
98702;78.1583;15.3500;4;4.5;-21.8;-1.0;4.6;1
97433;79.4167;27.7833;3;3.8;-27.0;3.1;5.8;1
92782;83.0833;45.3000;4;4.8;-19.0;6.1;6.5;1
94648;80.6333;49.6750;4;4.4;-10.7;0.8;1.9;1
96100;80.9000;26.7333;4;4.7;-28.1;1.2;4.6;1
86614;83.0750;96.5750;4;4.6;86.2;62.4;63.1;2
87728;83.4750;91.4667;4;5.4;-191.6;60.7;63.9;2
89908;84.8000;65.5167;4;4.2;7.6;1.8;1.9;1
80650;81.0750;149.7417;3;4.9;-14.8;-2.9;3.7;1
86201;86.8833;126.4333;4;4.8;3.4;0.3;0.3;1
82860;83.3000;178.3500;5;4.9;31.3;0.2;3.7;1
81660;81.6833;178.3667;5;4.8;6.8;-2.7;2.9;1
83895;84.7667;176.8583;3;3.2;25.0;0.2;2.3;1
80331;78.5333;187.9167;3;2.7;47.4;-4.7;10.5;2
78527;74.1917;192.4750;3;4.0;-81.7;15.9;27.2;1
75458;71.0667;179.3667;3;3.3;-7.8;2.1;3.3;1
67627;65.3000;149.2833;5;4.6;-2.1;3.0;3.1;1
68756;66.6000;152.1750;2;3.7;-23.3;-15.0;17.7;1
61281;61.5500;130.4333;3;3.8;11.3;11.0;12.3;1
56211;57.1167;124.6250;3;3.8;5.2;5.5;6.2;1
98583;77.5250;1.0667;5;5.2;-14.6;-1.6;3.6;1
106032;71.1167;30.2167;3;3.2;-7.5;0.2;2.5;1
105199;68.9000;7.2167;3;2.5;5.1;0.6;1.9;1
112724;62.5833;27.8917;4;3.5;-6.4;0.2;2.9;1
109492;61.0500;8.4833;4;3.4;-0.1;4.9;4.9;1
109857;59.9833;7.8917;4;4.2;-24.4;-1.4;12.3;2
110991;58.7667;13.6500;4;4.1;-91.8;45.4;65.4;1
