# Converted from ulughbeg.dat — Ulugh Beg (equinox 1437)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
11767;66.4500;80.3167;1;=UMi;"1=UMi";3;2.0;1;26.7
85822;70.0000;82.4167;2;=UMi;"2=UMi";4;4.3;1;20.4
82080;73.7500;90.9167;3;=UMi;"3=UMi";4;4.2;1;8.1
77055;75.6000;107.7167;4;=UMi;"4=UMi";4;4.3;1;41.6
79822;78.0000;112.9167;5;=UMi;"5=UMi";5;4.9;1;13.5
72607;73.0000;125.4167;6;=UMi;"6=UMi";2;2.1;1;4.0
75097;75.1500;133.9167;7;=UMi;"7=UMi";3;3.0;1;6.7
70692;71.7500;120.9167;8;=UMi;"8a=UMi";4;4.3;1;23.7
41704;40.2500;104.9167;9;=UMa;"1=UMa";4;3.3;1;10.6
42080;43.8000;105.7167;10;=UMa;"2=UMa";5;5.5;3;94.9
42527;43.7500;106.5667;11;=UMa;"3=UMa";5;4.6;1;71.2
44390;47.9000;106.4167;12;=UMa;"4=UMa";5;4.7;1;13.1
45038;47.8500;107.7167;13;=UMa;"5=UMa";5;4.8;1;13.3
46977;51.3000;108.4167;14;=UMa;"6=UMa";5;4.5;1;7.4
45075;44.7000;109.7167;15;=UMa;"7=UMa";4;4.7;1;11.1
46733;44.9000;112.8167;16;=UMa;"8=UMa";4;3.7;1;12.5
48319;42.6500;118.5167;17;=UMa;"9=UMa";4;3.8;1;4.4
48402;38.0000;121.3167;18;=UMa;"10=UMa";4;4.6;1;14.1
46853;34.7500;119.3667;19;=UMa;"11=UMa";3;3.2;1;15.2
44127;29.3500;114.9167;20;=UMa;"12=UMa";3;3.1;1;13.8
44471;29.0000;115.7167;21;=UMa;"13=UMa";3;3.6;1;18.9
45493;36.0000;115.2667;22;=UMa;"14=UMa";5;4.8;1;8.1
44901;33.3500;115.4167;23;=UMa;"15=UMa";5;4.5;1;8.5
54061;49.4000;127.4167;24;=UMa;"16=UMa";2;1.8;1;15.6
53910;45.1500;131.6167;25;=UMa;"17=UMa";3;2.3;1;6.1
59774;51.5000;143.4167;26;=UMa;"18=UMa";3;3.3;1;13.2
58001;47.2500;142.5167;27;=UMa;"19=UMa";3;2.4;1;9.2
50372;29.7500;131.6667;28;=UMa;"20=UMa";3;3.5;1;6.6
50801;28.7000;133.1167;29;=UMa;"21=UMa";3;3.1;2;20.3
54539;35.2500;140.7667;30;=UMa;"22=UMa";3;3.0;1;17.6
55219;26.0000;150.1167;31;=UMa;"23=UMa";3;3.5;1;72.6
55203;24.7500;150.4167;32;=UMa;"24=UMa";3;3.8;1;52.1
62956;54.1500;150.5167;33;=UMa;"25=UMa";2;1.8;1;17.7
65378;56.2000;158.0667;34;=UMa;"26=UMa";2;2.2;1;15.0
67301;54.1500;169.1667;35;=UMa;"27=UMa";2;1.9;1;16.2
63125;40.2500;166.9167;36;=UMa;"28a=UMa";3;2.9;1;12.1
61317;40.6500;160.0667;37;=UMa;"29a=UMa";5;4.2;1;7.9
45860;17.5500;124.0167;38;=UMa;"30a=UMa";4;3.1;1;22.3
45688;19.7000;122.6167;39;=UMa;"31a=UMa";4;3.8;1;22.6
46952;20.3000;125.6667;40;=UMa;"32a=UMa";6;4.5;1;28.7
47029;23.7500;125.1667;41;=UMa;"33a=UMa";4;4.8;1;13.8
44700;20.2500;119.5167;42;=UMa;"34a=UMa";6;4.6;1;36.7
41075;23.0000;109.5167;43;=UMa;"35a=UMa";6;4.3;1;10.5
83608;76.2500;227.5167;44;=Dra;"1=Dra";5;4.9;1;10.3
85819;78.3500;242.6667;45;=Dra;"2=Dra";4;4.9;1;9.9
85670;75.5000;243.0167;46;=Dra;"3=Dra";3;2.8;1;18.2
87585;80.0000;258.9167;47;=Dra;"4=Dra";4;3.7;1;29.8
87833;75.0000;261.9167;48;=Dra;"5=Dra";2;2.2;1;27.7
90156;82.1500;285.1667;49;=Dra;"6=Dra";5;5.0;1;19.7
91755;78.2500;294.1667;50;=Dra;"7=Dra";5;5.0;1;31.0
90905;80.5500;290.6667;51;=Dra;"8=Dra";5;4.8;1;51.3
92512;81.4000;310.6667;52;=Dra;"9=Dra";5;4.6;1;45.1
95081;81.7500;357.0167;53;=Dra;"10=Dra";3;4.6;1;9.9
94376;83.0000;10.2167;54;=Dra;"11=Dra";4;3.1;1;8.3
97433;79.1500;25.1667;55;=Dra;"12=Dra";4;3.8;1;18.6
98702;77.6000;13.5167;56;=Dra;"13=Dra";5;4.5;1;33.3
96100;80.5000;25.2167;57;=Dra;"14=Dra";5;4.7;1;25.8
92782;82.0000;42.9167;58;=Dra;"15=Dra";5;4.8;1;70.3
94648;80.2500;46.5667;59;=Dra;"16=Dra";5;4.4;1;23.6
86614;84.2000;94.2167;60;=Dra;"17=Dra";4;4.6;1;11.3
89937;83.4000;65.9167;61;=Dra;"18=Dra";4;3.5;1;21.8
89908;84.7000;62.5167;62;=Dra;"19=Dra";4;4.2;1;8.3
85805;87.2500;131.6667;63;=Dra;"20=Dra";6;5.1;1;30.5
86201;86.7500;120.4167;64;=Dra;"21=Dra";6;4.8;1;14.7
81660;81.9500;178.0167;65;=Dra;"22=Dra";5;4.8;1;25.1
82860;84.0000;177.5167;66;=Dra;"23=Dra";5;4.9;1;42.9
83895;85.2500;174.5667;67;=Dra;"24=Dra";3;3.2;1;28.7
80331;78.9500;186.9167;68;=Dra;"25=Dra";3;2.7;2;30.1
78527;74.5000;188.6167;69;=Dra;"26=Dra";4;4.0;1;4.2
75458;71.4500;177.8167;70;=Dra;"27=Dra";3;3.3;1;27.3
67627;65.3500;147.4167;71;=Dra;"28=Dra";5;4.6;1;12.3
68756;66.4500;150.5667;72;=Dra;"29=Dra";3;3.7;1;27.2
61281;61.4000;128.6167;73;=Dra;"30=Dra";3;3.8;2;21.1
56211;57.1500;122.4167;74;=Dra;"31=Dra";3;3.8;1;2.7
99255;75.7500;54.9167;75;=Cep;"1=Cep";5;4.4;1;20.7
116727;64.5000;52.5167;76;=Cep;"2=Cep";4;3.2;1;8.2
106032;71.2500;27.6167;77;=Cep;"3=Cep";4;3.2;1;9.8
105199;68.6000;4.5667;78;=Cep;"4=Cep";3;2.5;1;21.4
102422;71.5500;356.4167;79;=Cep;"5=Cep";4;3.4;1;10.9
101093;73.8500;357.1667;80;=Cep;"6=Cep";4;4.2;1;5.0
